BRAND;IMPRESSIONS;SPEND;DATE;CHANNEL;DUMMY_BRAND;DUMMY_CHANNEL
B01;11840932;60283;9;A;1;1
B01;3143035;14733;10;A;1;1
B01;0;0;12;A;1;1
B01;12070200;22497;5;B;1;2
B01;6667949;20678;6;B;1;2
B01;0;0;7;B;1;2
B01;14213288;19699;8;B;1;2
B01;29571366;67110;9;B;1;2
B01;16785503;33744;10;B;1;2
B01;95087;1158;11;B;1;2
B01;16032452;67735;12;B;1;2
B10;5274988;12111;6;A;10;1
B10;23857324;39603;7;A;10;1
B10;4108036;6341;8;A;10;1
B10;5443208;34982;9;A;10;1
B10;0;0;5;B;10;2
B10;0;0;6;B;10;2
B10;0;0;7;B;10;2
B10;5632039;49131;8;B;10;2
B10;16281011;118370;9;B;10;2
B10;15977568;66055;10;B;10;2
B10;24713270;57694;11;B;10;2
B10;2945810;7768;12;B;10;2
B11;25168188;149558;5;A;11;1
B11;3970099;25424;6;A;11;1
B11;0;0;7;A;11;1
B11;4085190;24044;8;A;11;1
B11;8209923;45918;9;A;11;1
B11;1483378;10885;10;A;11;1
B11;14570797;78808;5;B;11;2
B11;15128724;104920;6;B;11;2
B11;8605300;26259;7;B;11;2
B11;13228973;44251;8;B;11;2
B11;20184318;88085;9;B;11;2
B11;49228681;253421;10;B;11;2
B11;41121111;62716;11;B;11;2
B11;11934954;13643;12;B;11;2
B12;5966113;26624;5;A;12;1
B12;45461574;208247;6;A;12;1
B12;10174571;52845;7;A;12;1
B12;3729805;23278;8;A;12;1
B12;10042820;117110;9;A;12;1
B12;16860979;231460;10;A;12;1
B12;779;8;11;A;12;1
B12;14303924;50725;5;B;12;2
B12;6043814;24860;6;B;12;2
B12;19208902;81016;7;B;12;2
B12;16485882;86858;8;B;12;2
B12;44823207;209812;9;B;12;2
B12;96257649;341888;10;B;12;2
B12;14304856;39269;11;B;12;2
B12;28599871;150302;12;B;12;2
B13;0;0;5;A;13;1
B13;0;0;6;A;13;1
B13;0;0;7;A;13;1
B13;0;0;8;A;13;1
B13;0;0;9;A;13;1
B13;0;0;10;A;13;1
B13;0;0;11;A;13;1
B13;0;0;5;B;13;2
B13;0;0;6;B;13;2
B13;0;0;7;B;13;2
B13;0;0;8;B;13;2
B13;6934129;25890;9;B;13;2
B13;45395092;277191;10;B;13;2
B13;20295084;113094;11;B;13;2
B13;20507942;92868;12;B;13;2
B02;0;0;5;A;2;1
B02;0;0;6;A;2;1
B02;0;0;7;A;2;1
B02;0;0;8;A;2;1
B02;0;0;11;A;2;1
B02;0;0;5;B;2;2
B02;0;0;6;B;2;2
B02;17176240;103308;7;B;2;2
B02;577371;20746;8;B;2;2
B02;0;0;9;B;2;2
B02;1911973;7227;10;B;2;2
B02;45891594;307577;11;B;2;2
B02;427912;1748;12;B;2;2
B03;0;0;5;A;3;1
B03;0;0;5;B;3;2
B03;0;0;6;B;3;2
B04;8757582;5145;5;A;4;1
B04;51221153;24823;6;A;4;1
B04;25692958;45819;7;A;4;1
B04;3794328;25872;8;A;4;1
B04;2001942;19959;9;A;4;1
B04;1810194;19004;10;A;4;1
B04;3330754;34132;11;A;4;1
B04;0;0;12;A;4;1
B04;0;0;5;B;4;2
B04;0;0;6;B;4;2
B04;0;0;7;B;4;2
B04;20970029;57015;8;B;4;2
B04;11935297;39539;9;B;4;2
B04;29057256;74482;10;B;4;2
B04;16665536;84903;11;B;4;2
B04;2035746;5520;12;B;4;2
B05;0;0;5;A;5;1
B05;0;0;6;A;5;1
B05;5853;60;7;A;5;1
B05;65409627;20961;8;A;5;1
B05;210808444;106922;9;A;5;1
B05;167401283;179097;10;A;5;1
B05;4828518;16811;11;A;5;1
B05;0;0;5;B;5;2
B05;0;0;6;B;5;2
B05;13050831;112183;7;B;5;2
B05;11985947;211417;8;B;5;2
B05;4005610;19553;9;B;5;2
B05;46612619;202814;10;B;5;2
B05;83634894;271488;11;B;5;2
B05;36263906;82747;12;B;5;2
B06;0;0;6;A;6;1
B06;0;0;7;A;6;1
B06;0;0;8;A;6;1
B06;0;0;9;A;6;1
B06;0;0;10;A;6;1
B06;0;0;11;A;6;1
B06;0;0;12;A;6;1
B06;0;0;5;B;6;2
B06;0;0;6;B;6;2
B06;0;0;7;B;6;2
B06;0;0;8;B;6;2
B06;0;0;9;B;6;2
B06;19464984;30128;10;B;6;2
B06;23713194;81874;11;B;6;2
B06;1413211;31745;12;B;6;2
B07;0;0;5;A;7;1
B07;1694974;8484;6;A;7;1
B07;6347327;30994;7;A;7;1
B07;4270883;28174;8;A;7;1
B07;2390239;13826;9;A;7;1
B07;1216820;7114;10;A;7;1
B07;1707843;7923;11;A;7;1
B07;2242767;8536;12;A;7;1
B07;10748363;27045;5;B;7;2
B07;10386071;109464;6;B;7;2
B07;31985082;174094;7;B;7;2
B07;24571500;108928;8;B;7;2
B07;24279840;114107;9;B;7;2
B07;25050175;236155;10;B;7;2
B07;13394564;143303;11;B;7;2
B07;10502107;93966;12;B;7;2
B08;4848373;12469;5;A;8;1
B08;0;0;6;A;8;1
B08;0;0;7;A;8;1
B08;14914305;19082;8;A;8;1
B08;0;0;9;A;8;1
B08;25107472;193981;10;A;8;1
B08;29413146;206147;11;A;8;1
B08;0;0;12;A;8;1
B08;0;0;5;B;8;2
B08;0;0;6;B;8;2
B08;0;0;7;B;8;2
B08;0;0;8;B;8;2
B08;0;0;9;B;8;2
B08;0;0;10;B;8;2
B08;0;0;11;B;8;2
B08;0;0;12;B;8;2
B09;0;0;5;A;9;1
B09;0;0;6;A;9;1
B09;7168971;15596;7;A;9;1
B09;2789490;20723;8;A;9;1
B09;0;0;9;A;9;1
B09;30894389;219365;10;A;9;1
B09;8790255;46753;11;A;9;1
B09;4657612;47182;12;A;9;1
B09;0;0;5;B;9;2
B09;0;0;6;B;9;2
B09;45327696;172918;7;B;9;2
B09;75575414;767199;8;B;9;2
B09;25426066;240343;9;B;9;2
B09;7726219;97122;10;B;9;2
B09;6977267;58689;11;B;9;2
B09;12036895;56259;12;B;9;2
